French	English	Spanish
Passerelles en Physique	Bridges in Physics	Puentes en Física
Camille	Camille	Camille
Luc	Luc	Luc
mécanique quantique	quantum mechanics	mecánica cuántica
moment cinétique	angular momentum	momento angular
opérateur	operator	operador
momentum	momentum	momentum
intuition quotidienne	everyday intuition	intuición cotidiana
classique	classical	clásico
réalité quantique	quantum reality	realidad cuántica
balle de baseball	baseball ball	pelota de béisbol
colline du lanceur	pitcher's mound	montículo del lanzador
plaque	plate	placa / home plate
électron	electron	electrón
onde	wave	onda
dualité onde-particule	wave-particle duality	dualidad onda-partícula
moment	moment	momento
propriété fondamentale	fundamental property	propiedad fundamental
particule quantique	quantum particle	partícula cuántica
espace	space	espacio
opérateur de moment	momentum operator	operador de momento
taux de changement	rate of change	tasa de cambio
position	position	posición
principe d'incertitude de Heisenberg	Heisenberg uncertainty principle	principio de incertidumbre de Heisenberg
particule	particle	partícula
pic	peak	pico
longueur d'onde	wavelength	longitud de onda
ondulation	ripple	ondulación
physicien expérimental	experimental physicist	físico experimental
physique moderne	modern physics	física moderna
champ magnétique	magnetic field	campo magnético
mesure	measurement	medida
précision	precision	precisión
quantité de mouvement	momentum	cantidad de movimiento
mesure généralisée	generalized measurement	medida generalizada
système	system	sistema
grandeur physique	physical quantity	magnitud física
monde quantique	quantum world	mundo cuántico
action dynamique	dynamic action	acción dinámica
