English	German	Japanese	Chinese
Bridges in Physics	Brücken in der Physik	物理学における架け橋	物理学之桥
Camille	Camille	カミーユ	卡米尔
Luc	Luc	リュック	卢克
quantum mechanics	Quantenmechanik	量子力学	量子力学
momentum	Impuls	運動量	动量
operator	Operator	演算子	算符
position	Position	位置	位置
classical intuition	klassische Intuition	古典的な直感	经典直觉
quantum reality	Quantenrealität	量子の現実	量子现实
electron	Elektron	電子	电子
wave-particle duality	Welle-Teilchen-Dualismus	波と粒子の二重性	波粒二象性
quantum particle	Quantenteilchen	量子粒子	量子粒子
wave	Welle	波	波
momentum operator	Impulsoperator	運動量演算子	动量算符
rate of change	Änderungsrate	変化率	变化率
Heisenberg's Uncertainty Principle	Heisenbergsche Unschärferelation	ハイゼンベルクの不確定性原理	海森堡不确定性原理
particle	Teilchen	粒子	粒子
wavelength	Wellenlänge	波長	波长
waviness	Wellenartigkeit	波状性	波动性
experimental physicists	Experimentalphysiker	実験物理学者	实验物理学家
physics	Physik	物理学	物理学
magnetic field	Magnetfeld	磁場	磁场
measurement	Messung	測定	测量
precision	Präzision	精度	精度
generalized measurement	verallgemeinerte Messung	一般化測定	广义测量
system	System	系	系统
physical quantity	physikalische Größe	物理量	物理量
quantum world	Quantenwelt	量子の世界	量子世界
