English	French	Spanish	German	Japanese	Chinese
Camille	Camille	Camille	Camille	カミーユ	卡米尔
Tech Flash	Tech Éclair	Tech Relámpago	Tech-Blitz	テック・フラッシュ	科技快报
Luc	Luc	Luc	Luc	リュック	卢克
artificial intelligence	intelligence artificielle	inteligencia artificial	künstliche Intelligenz	人工知能	人工智能
architecture	architecture	arquitectura	Architektur	アーキテクチャ	架构
Transformer	Transformer	Transformer	Transformer	Transformer	Transformer
ChatGPT	ChatGPT	ChatGPT	ChatGPT	ChatGPT	ChatGPT
DALL-E	DALL-E	DALL-E	DALL-E	DALL-E	DALL-E
machine translators	traducteurs automatiques	traductores automáticos	maschinelle Übersetzungssysteme	機械翻訳機	机器翻译器
Attention Is All You Need	Attention Is All You Need	Attention Is All You Need	Attention Is All You Need	Attention Is All You Need	Attention Is All You Need
AI	IA	IA	KI	AI	AI
RNN	RNN	RNN	RNN	RNN	RNN
attention mechanism	mécanisme d'attention	mecanismo de atención	Attention-Mechanismus	注意機構	注意力机制
attention	attention	atención	Attention	注意 (アテンション)	注意力
model	modèle	modelo	Modell	モデル	模型
relevance calculations	calculs de pertinence	cálculos de relevancia	Relevanzberechnungen	関連性計算	相关性计算
parallel processing	traitement parallèle	procesamiento paralelo	Parallelverarbeitung	並列処理	并行处理
graphics cards	cartes graphiques	tarjetas gráficas	Grafikkarten	グラフィックスカード	显卡
Large Language Models	grands modèles de langage	grandes modelos de lenguaje	große Sprachmodelle	大規模言語モデル	大语言模型
LLMs	LLM	LLMs	LLMs	LLM	LLMs
parameters	paramètres	parámetros	Parameter	パラメータ	参数
attentional read	lecture attentionnelle	lectura atencional	aufmerksamkeitbasiertes Lesen	アテンショナルリード	注意力读取
multi-head attention	attention multi-têtes	atención multicabezal	Multi-Head Attention	マルチヘッド・アテンション	多头注意力
Vision Transformers	Vision Transformers	Vision Transformers	Vision Transformers	Vision Transformer	视觉 Transformer
image recognition	reconnaissance d'image	reconocimiento de imágenes	Bilderkennung	画像認識	图像识别
biology	biologie	biología	Biologie	生物学	生物学
AlphaFold	AlphaFold	AlphaFold	AlphaFold	AlphaFold	AlphaFold
3D structure	structure 3D	estructura 3D	3D-Struktur	3次元構造	3D 结构
protein	protéine	proteína	Protein	タンパク質	蛋白质
genetic sequence	séquence génétique	secuencia genética	Gensequenz	遺伝子配列	基因序列
medical research	recherche médicale	investigación médica	medizinische Forschung	医学研究	医学研究
drug discovery	découverte de médicaments	descubrimiento de fármacos	Wirkstoffforschung	創薬	药物研发
universal grammar	grammaire universelle	gramática universal	Universalgrammatik	普遍文法	普遍语法
code generation	génération de code	generación de código	Codegenerierung	コード生成	代码生成
musical composition	composition musicale	composición musical	musikalische Komposition	作曲	音乐创作
on-demand image creation	création d'images à la demande	creación de imágenes bajo demanda	Bilderstellung auf Abruf	オンデマンド画像生成	按需图像生成
transfer learning	apprentissage par transfert	aprendizaje por transferencia	Transfer Learning	転移学習	迁移学习
base model	modèle de base	modelo base	Basismodell	ベースモデル	基础模型
pre-trained	pré-entraîné	preentrenado	vortrainiert	事前学習済み	预训练
fine-tune	affiner	ajustar finamente	feinanpassen	ファインチューニング	微调
context	contexte	contexto	Kontext	コンテキスト (文脈)	上下文
parallel nature	nature parallèle	naturaleza paralela	parallele Natur	並列的な性質	并行特性
models	modèles	modelos	Modelle	モデル	模型
paradigm shift	changement de paradigme	cambio de paradigma	Paradigmenwechsel	パラダイムシフト	范式转移
